Вопрос;Ответ
Какой график?;Как правило график 2/2 с 08:00 до 20:00 или с 20:00 до 08:00, но можем подстроится под тебя)
Обязательно официальное трудоустройство?;Да, рассматриваем в команду только ребят, которые готовы официально трудоустраиваться. Но есть возможность устроить тебя на 0,5 ставки, как правило все выплаты при этом сокращаются)
Сколько зп/денег я буду получать? Какая ставка?;Заработаная плата на стажировке 100-150 р/час, после, по мере твоего обучения и прохождения уроков она будет увеличиваться, как правило полноценные сотрудники кофени получают от 2500 до 3500 рублей за смену!
Вакансия актуальна? ;"Да, напиши мне ""Привет"" и заполни анкету)"
